hour_bin,mean_duration_s,start_count,label
2025-02-17 00:00:00,221.5,2,CW1
2025-02-17 01:00:00,220.5,2,CW1
2025-02-17 02:00:00,217.0,2,CW1
2025-02-17 03:00:00,234.0,2,CW1
2025-02-17 04:00:00,789.0,2,CW1
2025-02-17 05:00:00,1438.0,1,CW1
2025-02-17 06:00:00,1895.0,1,CW1
2025-02-17 07:00:00,1433.0,1,CW1
2025-02-17 08:00:00,1534.0,1,CW1
2025-02-17 09:00:00,1409.0,1,CW1
2025-02-17 10:00:00,824.5,2,CW1
2025-02-17 11:00:00,1507.0,1,CW1
2025-02-17 12:00:00,251.0,1,CW1
2025-02-17 13:00:00,1545.0,1,CW1
2025-02-17 14:00:00,1619.0,1,CW1
2025-02-17 15:00:00,1691.0,1,CW1
2025-02-17 16:00:00,899.5,2,CW1
2025-02-17 17:00:00,1363.0,1,CW1
2025-02-17 18:00:00,138.33333333333334,3,CW1
2025-02-18 13:00:00,104.5,2,CW1
2025-02-18 16:00:00,148.66666666666666,3,CW1
2025-02-18 17:00:00,237.33333333333334,3,CW1
2025-02-18 18:00:00,699.0,2,CW1
2025-02-18 21:00:00,47.0,2,CW1
2025-02-19 01:00:00,597.0,1,CW1
2025-02-20 06:00:00,300.0,2,CW1
2025-02-20 07:00:00,115.0,1,CW1
2025-02-20 09:00:00,60.0,2,CW1
2025-02-20 10:00:00,88.66666666666667,3,CW1
2025-02-20 11:00:00,49.666666666666664,3,CW1
2025-02-20 12:00:00,47.0,1,CW1
2025-02-20 13:00:00,438.0,1,CW1
2025-02-20 14:00:00,32.333333333333336,3,CW1
2025-02-20 15:00:00,63.0,1,CW1
2025-02-20 16:00:00,280.0,1,CW1
2025-02-20 17:00:00,114.0,5,CW1
2025-02-20 18:00:00,1.0,6,CW1
2025-02-20 19:00:00,267.0,1,CW1
2025-02-20 20:00:00,130.0,1,CW1
2025-02-21 05:00:00,730.5,2,CW1
2025-02-21 06:00:00,951.5,2,CW1
2025-02-21 07:00:00,1389.0,1,CW1
2025-02-21 10:00:00,133.6,5,CW1
2025-02-21 11:00:00,276.0,1,CW1
2025-02-21 12:00:00,269.0,1,CW1
2025-02-21 13:00:00,235.5,2,CW1
2025-02-21 14:00:00,538.6666666666666,3,CW1
2025-02-21 15:00:00,836.5,2,CW1
2025-02-21 16:00:00,1353.0,1,CW1
2025-02-21 17:00:00,416.75,4,CW1
2025-02-21 18:00:00,1301.4285714285713,7,CW1
2025-02-21 21:00:00,177.0,1,CW1
2025-02-21 22:00:00,277.0,1,CW1
2025-02-22 00:00:00,276.0,1,CW1
2025-02-22 01:00:00,278.5,2,CW1
2025-02-22 02:00:00,293.0,1,CW1
2025-02-22 03:00:00,289.0,1,CW1
2025-02-22 04:00:00,720.5,2,CW1
2025-02-22 05:00:00,854.5,2,CW1
2025-02-22 06:00:00,771.5,2,CW1
2025-02-22 07:00:00,89.66666666666667,3,CW1
2025-02-22 08:00:00,1285.0,1,CW1
2025-02-22 09:00:00,580.6666666666666,3,CW1
2025-02-22 10:00:00,1397.0,1,CW1
2025-02-22 11:00:00,837.5,2,CW1
2025-02-22 12:00:00,758.0,2,CW1
2025-02-22 13:00:00,856.0,2,CW1
2025-02-22 14:00:00,843.0,2,CW1
2025-02-22 15:00:00,815.5,2,CW1
2025-02-22 16:00:00,778.5,2,CW1
2025-02-22 17:00:00,816.0,2,CW1
2025-02-22 18:00:00,764.5,2,CW1
2025-02-22 19:00:00,1296.0,1,CW1
2025-02-22 20:00:00,1317.0,1,CW1
2025-02-22 21:00:00,1525.0,1,CW1
2025-02-22 22:00:00,2933.0,1,CW1
2025-02-23 03:00:00,826.0,2,CW1
2025-02-23 04:00:00,678.0,1,CW1
2025-02-23 05:00:00,963.0,2,CW1
2025-02-23 06:00:00,129.0,2,CW1
2025-02-23 07:00:00,586.6666666666666,3,CW1
2025-02-23 08:00:00,745.5,2,CW1
2025-02-23 09:00:00,764.0,1,CW1
2025-02-23 10:00:00,753.0,2,CW1
2025-02-23 11:00:00,778.0,2,CW1
2025-02-23 12:00:00,795.0,2,CW1
2025-02-23 13:00:00,791.5,2,CW1
2025-02-23 14:00:00,795.0,2,CW1
2025-02-23 15:00:00,837.0,2,CW1
2025-02-23 16:00:00,835.5,2,CW1
2025-02-23 17:00:00,813.5,2,CW1
2025-02-23 18:00:00,743.0,2,CW1
2025-02-23 19:00:00,1724.0,1,CW1
2025-02-23 20:00:00,1394.0,1,CW1
2025-02-23 21:00:00,1180.0,1,CW1
2025-02-23 22:00:00,1858.5,2,CW1
2025-02-24 03:00:00,353.5,2,CW1
2025-02-24 04:00:00,799.5,2,CW1
2025-02-24 05:00:00,1161.0,2,CW1
2025-02-24 06:00:00,434.0,1,CW1
2025-02-24 07:00:00,1622.0,1,CW1
2025-02-24 08:00:00,1450.0,1,CW1
2025-02-24 09:00:00,746.5,2,CW1
2025-02-24 10:00:00,799.5,2,CW1
2025-02-24 11:00:00,821.0,2,CW1
2025-02-24 12:00:00,805.0,2,CW1
2025-02-24 13:00:00,768.0,2,CW1
2025-02-24 14:00:00,861.0,1,CW1
2025-02-24 15:00:00,1415.0,2,CW1
2025-02-24 17:00:00,174.0,1,CW1
2025-02-24 18:00:00,48.714285714285715,7,CW1
2025-02-24 21:00:00,97.2,5,CW1
2025-02-24 22:00:00,252.0,1,CW1
2025-02-17 03:00:00,108.0,2,CW2
2025-02-17 04:00:00,1267.5,2,CW2
2025-02-17 05:00:00,1715.0,1,CW2
2025-02-17 06:00:00,1895.0,1,CW2
2025-02-17 07:00:00,1811.0,1,CW2
2025-02-17 09:00:00,1950.0,1,CW2
2025-02-17 10:00:00,868.0,2,CW2
2025-02-17 11:00:00,1838.0,1,CW2
2025-02-17 12:00:00,1635.0,1,CW2
2025-02-17 13:00:00,1631.0,1,CW2
2025-02-17 14:00:00,2015.0,1,CW2
2025-02-17 15:00:00,801.0,2,CW2
2025-02-17 16:00:00,1927.0,1,CW2
2025-02-17 17:00:00,1753.0,1,CW2
2025-02-17 18:00:00,68503.0,1,CW2
2025-02-18 13:00:00,373.0,1,CW2
2025-02-18 14:00:00,336.0,1,CW2
2025-02-18 15:00:00,338.0,1,CW2
2025-02-18 18:00:00,2366.5,4,CW2
2025-02-18 21:00:00,418.0,1,CW2
2025-02-19 01:00:00,104077.0,1,CW2
2025-02-20 06:00:00,797.0,1,CW2
2025-02-20 09:00:00,282.0,2,CW2
2025-02-20 11:00:00,144.0,4,CW2
2025-02-20 13:00:00,116.0,1,CW2
2025-02-20 14:00:00,188.0,2,CW2
2025-02-20 15:00:00,410.0,1,CW2
2025-02-20 20:00:00,192.0,1,CW2
2025-02-21 05:00:00,759.0,1,CW2
2025-02-21 06:00:00,415.0,1,CW2
2025-02-21 07:00:00,1597.0,1,CW2
2025-02-21 08:00:00,1630.4,5,CW2
2025-02-21 10:00:00,64.0,1,CW2
2025-02-21 13:00:00,518.0,1,CW2
2025-02-21 14:00:00,58.0,4,CW2
2025-02-21 15:00:00,1709.0,1,CW2
2025-02-21 16:00:00,1772.0,1,CW2
2025-02-21 17:00:00,1654.0,1,CW2
2025-02-21 18:00:00,343.25,4,CW2
2025-02-21 21:00:00,170.0,2,CW2
2025-02-22 04:00:00,2314.0,1,CW2
2025-02-22 05:00:00,274.3333333333333,6,CW2
2025-02-22 06:00:00,690.0,2,CW2
2025-02-22 07:00:00,1128.0,1,CW2
2025-02-22 08:00:00,1933.0,1,CW2
2025-02-22 09:00:00,1511.0,1,CW2
2025-02-22 10:00:00,1594.0,1,CW2
2025-02-22 11:00:00,1857.0,1,CW2
2025-02-22 12:00:00,1574.0,1,CW2
2025-02-22 13:00:00,1464.0,1,CW2
2025-02-22 15:00:00,1547.0,1,CW2
2025-02-22 16:00:00,1526.0,1,CW2
2025-02-22 17:00:00,1553.0,1,CW2
2025-02-22 18:00:00,1551.0,1,CW2
2025-02-22 19:00:00,776.0,2,CW2
2025-02-22 20:00:00,889.5,2,CW2
2025-02-22 21:00:00,909.0,2,CW2
2025-02-22 22:00:00,667.0,2,CW2
2025-02-22 23:00:00,13491.0,1,CW2
2025-02-23 03:00:00,287.0,1,CW2
2025-02-23 04:00:00,1693.0,1,CW2
2025-02-23 05:00:00,460.0,3,CW2
2025-02-23 06:00:00,1823.0,1,CW2
2025-02-23 07:00:00,491.6666666666667,3,CW2
2025-02-23 08:00:00,507.3333333333333,3,CW2
2025-02-23 09:00:00,1607.0,1,CW2
2025-02-23 10:00:00,780.0,2,CW2
2025-02-23 11:00:00,752.5,2,CW2
2025-02-23 12:00:00,1534.0,1,CW2
2025-02-23 13:00:00,1561.0,1,CW2
2025-02-23 14:00:00,1.0,1,CW2
2025-02-23 15:00:00,1457.0,1,CW2
2025-02-23 16:00:00,1397.0,1,CW2
2025-02-23 17:00:00,1481.0,1,CW2
2025-02-23 18:00:00,1506.0,1,CW2
2025-02-23 19:00:00,715.5,2,CW2
2025-02-23 20:00:00,721.0,2,CW2
2025-02-23 21:00:00,733.0,2,CW2
2025-02-23 22:00:00,863.0,2,CW2
2025-02-24 03:00:00,625.0,1,CW2
2025-02-24 04:00:00,1419.0,1,CW2
2025-02-24 05:00:00,1440.0,1,CW2
2025-02-24 06:00:00,1596.0,1,CW2
2025-02-24 07:00:00,1555.0,1,CW2
2025-02-24 08:00:00,1646.0,1,CW2
2025-02-24 09:00:00,1486.0,1,CW2
2025-02-24 10:00:00,1598.0,1,CW2
2025-02-24 12:00:00,1502.0,1,CW2
2025-02-24 13:00:00,1553.0,1,CW2
2025-02-24 14:00:00,1508.0,1,CW2
2025-02-24 15:00:00,1457.0,1,CW2
2025-02-24 16:00:00,2014.0,1,CW2
2025-02-24 21:00:00,134.33333333333334,6,CW2
